trial,validation_mse,unseen_pearson,unseen_spearman,best_epoch,conv1_filters,conv1_kernel,conv1_dropout,conv1_pool,conv2_filters,conv2_kernel,conv2_dropout,conv2_pool,conv3_filters,conv3_kernel,conv3_dropout,conv3_pool,dense0_units,dense0_dropout,dense1_units,dense1_dropout,dense2_units,dense2_dropout,learning_rate,batch_size
58,62.51125717163086,0.7869006991386414,0.7948907281300289,61,144,3,0.10284231872563537,2,32,6,0.31820073109528024,3,32,6,0.2072431013565933,3,128,0.3993219436835652,80,0.24728410295205577,128,0.1209798136018701,0.00010067541266893953,32
59,61.170406341552734,0.7900592684745789,0.7982502792476641,96,64,3,0.4776288055380021,2,96,4,0.21845243870022119,3,48,6,0.3309084369748131,2,112,0.297410944603222,112,0.19116165081663145,80,0.45127237900802103,0.00023007815349006011,128
60,73.23033905029297,0.752245306968689,0.7638981658927293,97,80,4,0.12557039228777825,3,48,5,0.3419980321777894,2,80,6,0.24537090840849712,2,144,0.35686022044950344,160,0.1343297363335693,32,0.24620444425658483,0.00016923444255873636,500
61,59.7093505859375,0.7911350727081299,0.7980368341701451,68,64,3,0.2911881427186696,2,80,6,0.27412598929818244,3,96,6,0.17227493180966164,2,160,0.469113218614778,64,0.16371273461352895,48,0.26848245847653124,0.00020781785073667344,32
62,59.958396911621094,0.7911734580993652,0.7983594018949952,90,64,3,0.3714300922452493,2,80,6,0.30504356315394104,3,64,6,0.15155148527771847,2,144,0.45413250195303323,48,0.17525578903270986,48,0.2884990001181597,0.00012668726564516082,32
63,60.051414489746094,0.7912203073501587,0.7967272685127625,64,96,3,0.26222315515573896,2,64,6,0.2665256879588864,3,80,6,0.19407843631931707,2,144,0.4979887836297727,64,0.15432149877854848,32,0.21114130762760824,0.00033378387286943167,32
64,61.35807418823242,0.7864482402801514,0.7957935815756667,79,80,3,0.2193419773810467,2,80,6,0.28427792268781005,3,80,6,0.22270706183460026,2,128,0.42874535789302914,80,0.19859197700601458,48,0.47528850823605995,0.00016759743258011774,32
65,72.1854248046875,0.7531033754348755,0.7633962235552716,99,48,3,0.4804647428170144,2,96,6,0.24629197377733292,3,64,6,0.180819318851667,3,128,0.4427271073062491,96,0.21933516756017038,64,0.23264383131855457,0.00010972339936178071,256
66,60.23697280883789,0.7860559225082397,0.7937398354087938,70,64,3,0.4339533019557361,2,64,6,0.3256033215208763,3,96,8,0.10597353830482728,2,160,0.31526282450501325,48,0.18439267561510447,64,0.32259641081905815,0.00023854466195711408,32
67,66.77094268798828,0.7553392052650452,0.7612065158127789,11,80,4,0.3369486098321684,2,80,6,0.12321466173050107,2,80,6,0.22931222562394532,2,144,0.4134775464101889,80,0.1355554193425604,80,0.4328718493048771,0.002863784328183703,32
68,61.946353912353516,0.7857401371002197,0.7936282806733211,98,64,3,0.46230814770112505,2,128,6,0.2963100039099814,3,48,6,0.2732709566784492,2,112,0.33693107708523845,64,0.26912714861805587,48,0.30342547256485475,8.496714052771428e-05,32
69,69.17146301269531,0.7609888911247253,0.7699005315025591,100,80,3,0.3809792537157231,2,48,6,0.40985271181189975,3,96,6,0.1315081280533157,3,128,0.46580687878188654,96,0.2867698889906856,96,0.34234076062954866,4.8800909226083346e-05,64
70,61.306922912597656,0.7862406969070435,0.7938781313509806,48,48,3,0.31778272772067623,2,96,6,0.15760467852737664,3,64,7,0.21437411099623602,2,144,0.3679155141968268,64,0.23937404519582683,32,0.36749032536316645,0.0004079365100508386,32
71,60.677391052246094,0.7880306839942932,0.7958216020211256,48,80,4,0.40069682608804086,2,96,5,0.1200711402111546,2,64,6,0.2615786024042892,2,144,0.45431930751456606,80,0.12371642551742973,64,0.18729328604223716,0.0001996730424027678,32
72,59.63108825683594,0.7914109230041504,0.7989429441735169,62,96,4,0.40811259700699404,2,80,5,0.10006335061566207,2,64,6,0.2488931667798838,2,144,0.48874929118657934,96,0.11016187249062988,64,0.20452454622729424,0.00013908594474493766,32
73,59.326778411865234,0.794019341468811,0.8018203963897785,77,112,4,0.4091843861265539,2,80,5,0.1440896583052993,2,64,6,0.24706339543518746,2,128,0.4878134337475907,96,0.14635911933001644,64,0.22181906835687876,0.00013531392651752006,32
74,59.106502532958984,0.7922130823135376,0.7988997225340437,97,112,4,0.4426961162634866,2,80,5,0.11464443552799057,2,64,6,0.3105267348822952,2,128,0.4928873145943777,96,0.11350832921286272,80,0.22574715656449804,0.00011497733827925798,32
75,58.13140106201172,0.7942901253700256,0.8016356512887799,98,112,4,0.4473462451890273,2,80,5,0.13954430197243686,2,64,6,0.36081475678011143,2,128,0.47400490330374895,112,0.14062330993940086,80,0.22210113028845746,0.00012545971740536948,32
76,58.73937225341797,0.7930012941360474,0.7997993565198852,92,112,4,0.4458361996098726,2,64,5,0.1449449997989886,2,32,6,0.37483327995731136,2,128,0.4741034921276313,144,0.1468259823271899,80,0.16194037895140362,0.0001214643375115293,32
77,58.86786651611328,0.7953504323959351,0.8019079858666122,97,112,4,0.4780654729150271,2,64,5,0.13583371170335667,2,32,6,0.3648736520160592,2,112,0.4654867627308536,144,0.13095104961847298,80,0.10117076409199566,9.817784952970985e-05,32
78,61.02322769165039,0.7927720546722412,0.8012032506838075,99,112,4,0.44708690925680783,3,48,5,0.11591190553589625,2,32,6,0.3895112603471842,2,112,0.46571317529676926,144,0.10079194213624465,80,0.13857831279207375,7.379391746525099e-05,32
79,59.532405853271484,0.7926375865936279,0.7991308954309186,100,128,4,0.47974339287787576,2,64,5,0.1365221400445211,2,32,6,0.3604594302298585,3,96,0.4992175330649995,144,0.1304767616877102,80,0.10311942392248602,9.292578360543015e-05,32
80,63.51311111450195,0.783974289894104,0.792408627590332,61,128,4,0.44032093244999926,2,64,5,0.1641865597846353,2,16,8,0.38810804716956226,2,112,0.4734000585711397,144,0.49722981250883985,96,0.11499938490897504,0.00011390203228559508,32
81,59.18509292602539,0.7954404950141907,0.8032340473076048,94,112,4,0.4624983953934911,2,64,5,0.18582476339641013,2,32,6,0.3354349637027451,2,128,0.43415666274707965,128,0.159149567626637,80,0.15877015435880235,9.865172759720466e-05,32
